Month,Temp_oC,NutAvail_N_Mpm2mo,NutAvail_P_Mpm2mo,NutAvail_Ca_Mpm2mo,NutAvail_Mg_Mpm2mo,NutAvail_K_Mpm2mo,PAR_uMpm2s,WaterAccessible_mpmo,AtmosphCO2_uLpL,Herbivores_kgLivepha,MaxCfixGivenTemp_prop,MaxCfixGivenLight_prop,MaxCfixGivenWater_prop,MaxCfixGivenCO2_prop,MaxCFixGivenN_prop,MaxCFixGivenP_prop,MaxCFixGivenCa_prop,MaxCFixGivenMg_prop,MaxCFixGivenK_prop,Plant_C_Mpm2,Plant_N_Mpm2,Uptake_C_Mpm2mo,Uptake_N_Mpm2mo,Uptake_P_Mpm2mo,Uptake_Ca_Mpm2mo,Uptake_Mg_Mpm2mo,Uptake_K_Mpm2mo,RootLengthDensity_Layer1_mpm3,RootLengthDensity_Layer2_mpm3,RootLengthDensity_Layer3_mpm3,RootLengthDensity_Layer4_mpm3,MycorLengthDensity_Layer1_mpcm3,MycorLengthDensity_Layer2_mpcm3,MycorLengthDensity_Layer3_mpcm3,MycorLengthDensity_Layer4_mpcm3,Litterfall_C_Layer1_Mpm2mo,Litterfall_C_Layer2_Mpm2mo,Litterfall_C_Layer3_Mpm2mo,Litterfall_C_Layer4_Mpm2mo,Leaf_C_Mpm2,Wood_C_Mpm2,Root_C_Mpm2,Mycor_C_Mpm2,Leaf_N_Mpm2,Wood_N_Mpm2,Root_N_Mpm2,Kdrought_Leaf, Kseasonal_Leaf, KHerbivory_Leaf,Kdrought_Wood, Kseasonal_Wood, KHerbivory_Wood,Kdrought_Root, Kseasonal_Root, KHerbivory_Root 
   140.000,    11.880,     0.267,     0.019,     0.060,     0.049,     2.000,  1063.580,     0.772,   395.000,     0.000,     0.956,     0.853,     1.000,     1.002,     0.486,     0.533,     0.931,     2.441,     9.108,   290.125,     5.199,    25.728,     0.267,     0.048,     0.065,     0.014,     0.114, 25565.966, 12060.714,  1343.033,     0.881,   408.653,   192.781,    21.467,     0.014,    20.743,     4.143,     3.690,     0.009,    27.777,   186.322,    48.397,    27.628,     0.762,     0.648,     0.575,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   141.000,     9.583,     0.267,     0.019,     0.060,     0.049,     2.000,   964.425,     0.251,   395.000,     0.000,     0.878,     0.824,     1.000,     1.002,     0.458,     0.510,     0.904,     2.413,     9.085,   287.019,     4.993,    24.218,     0.267,     0.045,     0.061,     0.013,     0.107, 24637.152, 11622.547,  1294.241,     0.849,   393.806,   185.778,    20.687,     0.014,    19.394,     3.971,     3.538,     0.009,    25.360,   188.395,    46.639,    26.625,     0.687,     0.656,     0.555,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   142.000,     6.753,     0.267,     0.019,     0.060,     0.049,     2.000,   757.974,     0.158,   395.000,     0.000,     0.647,     0.745,     1.000,     1.002,     0.434,     0.490,     0.880,     2.387,     9.064,   293.245,     5.160,    22.981,     0.267,     0.043,     0.058,     0.012,     0.102, 25392.109, 11978.697,  1333.900,     0.875,   405.874,   191.471,    21.321,     0.014,    11.525,     2.556,     2.277,     0.006,    27.409,   190.327,    48.068,    27.441,     0.735,     0.662,     0.572,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   143.000,     3.721,     0.267,     0.019,     0.060,     0.049,     2.000,   429.296,     0.371,   395.000,     0.000,     0.297,     0.539,     1.000,     1.002,     0.444,     0.507,     0.900,     2.409,     9.081,   293.490,     5.215,    15.712,     0.567,     0.029,     0.040,     0.008,     0.070, 25190.215, 11883.454,  1323.294,     0.868,   402.647,   189.948,    21.152,     0.014,    10.884,     2.280,     2.031,     0.005,    27.118,   191.464,    47.686,    27.222,     0.817,     0.666,     0.567,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   144.000,     1.789,     0.267,     0.019,     0.060,     0.049,     2.000,   386.611,     0.140,   395.000,     0.000,     0.142,     0.502,     1.000,     1.002,     0.500,     0.504,     0.896,     2.404,     9.079,   287.701,     4.965,     7.523,     0.228,     0.014,     0.019,     0.004,     0.033, 23998.907, 11321.455,  1260.712,     0.827,   383.605,   180.965,    20.152,     0.013,     9.583,     1.903,     1.695,     0.004,    24.628,   191.707,    45.431,    25.935,     0.742,     0.667,     0.540,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   145.000,     0.447,     0.267,     0.019,     0.060,     0.049,     2.000,   465.146,     0.425,   395.000,     0.000,     0.080,     0.568,     1.000,     1.002,     0.476,     0.482,     0.869,     2.375,     9.057,   285.026,     4.856,     4.214,     0.128,     0.008,     0.011,     0.002,     0.019, 23458.881, 11066.699,  1232.344,     0.808,   374.973,   176.893,    19.698,     0.013,     4.977,     0.971,     0.865,     0.002,    23.677,   191.590,    44.409,    25.351,     0.713,     0.667,     0.528,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   146.000,     0.301,     0.267,     0.019,     0.060,     0.049,     2.000,   490.043,     0.346,   395.000,     0.000,     0.075,     0.587,     1.000,     1.002,     0.466,     0.473,     0.858,     2.363,     9.048,   282.300,     4.745,     3.948,     0.120,     0.007,     0.010,     0.002,     0.018, 22909.096, 10807.339,  1203.462,     0.789,   366.185,   172.747,    19.236,     0.013,     4.822,     0.943,     0.840,     0.002,    22.731,   191.444,    43.368,    24.757,     0.685,     0.666,     0.516,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   147.000,     1.833,     0.267,     0.019,     0.060,     0.049,     2.000,   649.036,     0.086,   395.000,     0.000,     0.145,     0.690,     0.850,     1.002,     0.457,     0.465,     0.847,     2.350,     9.039,   282.668,     4.747,     7.662,     0.233,     0.014,     0.019,     0.004,     0.034, 22860.037, 10784.195,  1200.885,     0.787,   365.401,   172.377,    19.195,     0.013,     5.129,     1.075,     0.958,     0.002,    22.987,   191.702,    43.275,    24.704,     0.692,     0.667,     0.515,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   148.000,     3.541,     0.267,     0.019,     0.060,     0.049,     2.000,   833.814,     0.315,   395.000,     0.000,     0.279,     0.778,     1.000,     1.002,     0.458,     0.466,     0.848,     2.351,     9.041,   287.307,     4.895,    14.767,     0.448,     0.028,     0.037,     0.008,     0.065, 23475.086, 11074.344,  1233.195,     0.809,   375.232,   177.015,    19.712,     0.013,     6.950,     1.546,     1.377,     0.003,    24.767,   192.732,    44.439,    25.369,     0.746,     0.671,     0.528,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   149.000,     7.000,     0.267,     0.019,     0.060,     0.049,     2.000,   979.960,     0.544,   395.000,     0.000,     0.674,     0.829,     1.000,     1.002,     0.474,     0.480,     0.865,     2.370,     9.056,   299.676,     5.290,    25.075,     0.267,     0.019,     0.063,     0.013,     0.111, 25363.399, 11965.153,  1332.392,     0.874,   405.415,   191.254,    21.297,     0.014,     8.494,     2.000,     1.782,     0.004,    29.374,   194.879,    48.014,    27.410,     0.854,     0.678,     0.571,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   150.000,     9.436,     0.267,     0.019,     0.060,     0.049,     2.000,  1065.523,     0.441,   395.000,     0.000,     0.871,     0.854,     1.000,     1.002,     0.497,     0.511,     0.912,     2.420,     9.095,   312.148,     5.690,    26.267,     0.267,     0.019,     0.066,     0.014,     0.117, 27298.997, 12878.269,  1434.073,     0.940,   436.354,   205.850,    22.923,     0.015,     9.324,     2.127,     1.894,     0.005,    33.820,   197.149,    51.678,    29.501,     0.959,     0.686,     0.614,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   151.000,    11.700,     0.267,     0.019,     0.060,     0.049,     2.000,  1123.948,     0.468,   395.000,     0.000,     0.953,     0.868,     1.000,     1.002,     0.519,     0.548,     0.959,     2.471,     9.133,   308.734,     5.466,    27.479,     0.267,     0.052,     0.069,     0.014,     0.122, 26493.087, 12498.082,  1391.737,     0.913,   423.472,   199.772,    22.246,     0.015,    22.244,     4.322,     3.851,     0.009,    30.408,   199.543,    50.152,    28.630,     0.847,     0.694,     0.596,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   152.000,    11.414,     0.267,     0.019,     0.060,     0.049,     2.000,  1060.860,     0.354,   395.000,     0.000,     0.946,     0.852,     1.000,     1.002,     0.485,     0.531,     0.929,     2.440,     9.107,   305.399,     5.250,    25.645,     0.267,     0.048,     0.065,     0.013,     0.114, 25593.586, 12073.743,  1344.484,     0.882,   409.094,   192.990,    21.491,     0.014,    20.701,     4.143,     3.691,     0.009,    27.559,   201.732,    48.450,    27.658,     0.756,     0.702,     0.576,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   153.000,     9.116,     0.267,     0.019,     0.060,     0.049,     2.000,   916.075,     0.519,   395.000,     0.000,     0.852,     0.808,     1.000,     1.002,     0.457,     0.509,     0.903,     2.412,     9.083,   302.254,     5.044,    24.154,     0.267,     0.045,     0.061,     0.013,     0.107, 24653.426, 11630.224,  1295.096,     0.849,   394.067,   185.900,    20.701,     0.014,    19.370,     3.971,     3.538,     0.009,    25.191,   203.751,    46.670,    26.642,     0.683,     0.709,     0.555,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   154.000,     6.286,     0.267,     0.019,     0.060,     0.049,     2.000,   621.325,     0.175,   395.000,     0.000,     0.594,     0.674,     1.000,     1.002,     0.433,     0.489,     0.879,     2.386,     9.063,   308.422,     5.210,    22.931,     0.267,     0.043,     0.058,     0.012,     0.102, 25400.902, 11982.845,  1334.362,     0.875,   406.014,   191.537,    21.329,     0.014,    11.538,     2.555,     2.276,     0.006,    27.255,   205.632,    48.085,    27.450,     0.731,     0.715,     0.572,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   155.000,     3.254,     0.267,     0.019,     0.060,     0.049,     2.000,   406.020,     0.220,   395.000,     0.000,     0.252,     0.519,     1.000,     1.002,     0.443,     0.506,     0.899,     2.408,     9.080,   306.864,     5.202,    13.334,     0.494,     0.025,     0.034,     0.007,     0.059, 24906.035, 11749.392,  1308.366,     0.858,   398.104,   187.805,    20.913,     0.014,    10.548,     2.174,     1.937,     0.005,    26.337,   206.464,    47.148,    26.915,     0.793,     0.718,     0.561,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   156.000,     1.322,     0.267,     0.019,     0.060,     0.049,     2.000,   455.667,     0.155,   395.000,     0.000,     0.117,     0.560,     1.000,     1.002,     0.493,     0.498,     0.889,     2.396,     9.072,   300.225,     4.923,     6.179,     0.187,     0.012,     0.016,     0.003,     0.027, 23573.357, 11120.703,  1238.357,     0.812,   376.802,   177.756,    19.794,     0.013,     9.258,     1.825,     1.626,     0.004,    23.609,   206.516,    44.625,    25.475,     0.711,     0.719,     0.531,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   157.000,     0.447,     0.267,     0.019,     0.060,     0.049,     1.463,   465.146,     0.184,   395.000,     0.000,     0.080,     0.568,     1.000,     1.002,     0.466,     0.474,     0.859,     2.364,     6.687,   297.655,     4.819,     4.214,     0.128,     0.008,     0.011,     0.002,     0.019, 23052.481, 10874.980,  1210.995,     0.794,   368.477,   173.828,    19.357,     0.013,     4.900,     0.957,     0.853,     0.002,    22.749,   206.355,    43.639,    24.912,     0.685,     0.718,     0.519,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   158.000,     0.301,     0.267,     0.019,     0.060,     0.049,     1.463,   490.043,     0.147,   395.000,     0.000,     0.075,     0.587,     1.000,     1.002,     0.457,     0.466,     0.848,     2.352,     6.679,   295.023,     4.714,     3.948,     0.120,     0.007,     0.010,     0.002,     0.018, 22520.984, 10624.247,  1183.074,     0.776,   359.981,   169.821,    18.911,     0.012,     4.754,     0.929,     0.828,     0.002,    21.887,   206.165,    42.633,    24.338,     0.659,     0.717,     0.507,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   159.000,     1.833,     0.267,     0.019,     0.060,     0.049,     1.463,   649.036,     0.122,   395.000,     0.000,     0.145,     0.690,     1.000,     1.002,     0.449,     0.457,     0.838,     2.341,     6.671,   295.474,     4.720,     7.662,     0.233,     0.014,     0.019,     0.004,     0.034, 22489.390, 10609.343,  1181.414,     0.775,   359.476,   169.582,    18.884,     0.012,     5.070,     1.062,     0.946,     0.002,    22.219,   206.379,    42.573,    24.304,     0.669,     0.718,     0.506,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   160.000,     3.541,     0.267,     0.019,     0.060,     0.049,     1.463,   833.814,     0.254,   395.000,     0.000,     0.279,     0.778,     1.000,     1.002,     0.451,     0.459,     0.840,     2.342,     6.673,   300.215,     4.873,    14.767,     0.448,     0.028,     0.037,     0.008,     0.065, 23124.825, 10909.109,  1214.795,     0.797,   369.633,   174.374,    19.418,     0.013,     6.876,     1.531,     1.364,     0.003,    24.084,   207.364,    43.776,    24.990,     0.725,     0.722,     0.521,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   161.000,     7.000,     0.267,     0.019,     0.060,     0.049,     1.463,   979.960,     0.208,   395.000,     0.000,     0.674,     0.829,     1.000,     1.002,     0.467,     0.474,     0.857,     2.361,     6.689,   312.398,     5.264,    24.721,     0.267,     0.019,     0.062,     0.013,     0.110, 24987.519, 11787.832,  1312.646,     0.861,   399.407,   188.420,    20.982,     0.014,     8.387,     1.971,     1.756,     0.004,    28.663,   209.429,    47.302,    27.003,     0.833,     0.729,     0.562,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   162.000,     9.436,     0.267,     0.019,     0.060,     0.049,     1.463,  1065.523,     0.421,   395.000,     0.000,     0.871,     0.854,     1.000,     1.002,     0.490,     0.505,     0.904,     2.411,     6.728,   324.688,     5.660,    25.911,     0.267,     0.019,     0.065,     0.014,     0.115, 26898.568, 12689.367,  1413.038,     0.927,   429.953,   202.830,    22.586,     0.015,     9.211,     2.096,     1.868,     0.005,    33.083,   211.616,    50.920,    29.069,     0.938,     0.736,     0.605,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   163.000,    11.700,     0.267,     0.019,     0.060,     0.049,     1.463,  1123.948,     0.343,   395.000,     0.000,     0.953,     0.868,     1.000,     1.002,     0.513,     0.543,     0.950,     2.461,     6.766,   321.372,     5.442,    27.120,     0.267,     0.051,     0.068,     0.014,     0.120, 26109.454, 12317.104,  1371.584,     0.899,   417.340,   196.880,    21.924,     0.014,    21.908,     4.261,     3.796,     0.009,    29.801,   213.929,    49.426,    28.216,     0.829,     0.744,     0.588,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   164.000,    11.414,     0.267,     0.019,     0.060,     0.049,     1.463,  1060.860,     0.392,   395.000,     0.000,     0.946,     0.852,     1.000,     1.002,     0.479,     0.525,     0.922,     2.432,     6.740,   318.129,     5.232,    25.343,     0.267,     0.047,     0.064,     0.013,     0.112, 25230.894, 11902.644,  1325.431,     0.869,   403.297,   190.255,    21.186,     0.014,    20.419,     4.087,     3.641,     0.009,    27.058,   216.041,    47.763,    27.266,     0.742,     0.752,     0.568,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   165.000,     9.116,     0.267,     0.019,     0.060,     0.049,     1.463,   916.075,     0.263,   395.000,     0.000,     0.852,     0.808,     1.000,     1.002,     0.452,     0.504,     0.896,     2.405,     6.718,   315.068,     5.032,    23.898,     0.267,     0.045,     0.060,     0.013,     0.106, 24313.950, 11470.077,  1277.262,     0.838,   388.640,   183.341,    20.416,     0.013,    19.133,     3.919,     3.491,     0.009,    24.776,   217.990,    46.027,    26.275,     0.671,     0.758,     0.547,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   166.000,     6.286,     0.267,     0.019,     0.060,     0.049,     1.463,   621.325,     0.039,   395.000,     0.000,     0.594,     0.674,     0.382,     1.002,     0.429,     0.485,     0.873,     2.380,     6.698,   319.294,     5.194,    20.188,     0.267,     0.038,     0.051,     0.011,     0.090, 24752.799, 11677.103,  1300.316,     0.853,   395.655,   186.650,    20.785,     0.014,    11.054,     2.412,     2.148,     0.005,    26.156,   219.530,    46.858,    26.750,     0.763,     0.764,     0.557,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   167.000,     3.254,     0.267,     0.019,     0.060,     0.049,     1.463,   406.020,     0.424,   395.000,     0.000,     0.252,     0.519,     1.000,     1.002,     0.474,     0.496,     0.886,     2.393,     6.709,   318.041,     5.135,    13.334,     0.430,     0.025,     0.034,     0.007,     0.059, 24312.372, 11469.332,  1277.179,     0.837,   388.615,   183.329,    20.415,     0.013,    10.320,     2.134,     1.901,     0.005,    25.423,   220.320,    46.024,    26.274,     0.766,     0.767,     0.547,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   168.000,     1.322,     0.267,     0.019,     0.060,     0.049,     1.463,   455.667,     0.492,   395.000,     0.000,     0.117,     0.560,     1.000,     1.002,     0.483,     0.489,     0.877,     2.384,     6.703,   311.662,     4.867,     6.179,     0.187,     0.012,     0.016,     0.003,     0.027, 23029.562, 10864.168,  1209.791,     0.793,   368.110,   173.656,    19.338,     0.013,     9.067,     1.788,     1.593,     0.004,    22.848,   220.331,    43.596,    24.887,     0.688,     0.767,     0.518,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   169.000,     0.447,     0.267,     0.019,     0.060,     0.049,     1.463,   465.146,     0.653,   395.000,     0.000,     0.080,     0.568,     1.000,     1.002,     0.458,     0.466,     0.849,     2.353,     6.680,   309.192,     4.769,     4.214,     0.128,     0.008,     0.011,     0.002,     0.019, 22533.157, 10629.990,  1183.713,     0.776,   360.176,   169.912,    18.921,     0.012,     4.835,     0.939,     0.837,     0.002,    22.057,   220.128,    42.656,    24.351,     0.664,     0.766,     0.507,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   170.000,     0.301,     0.267,     0.019,     0.060,     0.049,     1.463,   490.043,     0.085,   395.000,     0.000,     0.075,     0.587,     0.836,     1.002,     0.450,     0.459,     0.839,     2.342,     6.672,   306.650,     4.669,     3.948,     0.120,     0.007,     0.010,     0.002,     0.018, 22025.029, 10390.281,  1157.020,     0.759,   352.054,   166.081,    18.494,     0.012,     4.697,     0.912,     0.812,     0.002,    21.258,   219.896,    41.694,    23.802,     0.640,     0.765,     0.496,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   171.000,     1.833,     0.267,     0.019,     0.060,     0.049,     1.463,   649.036,     0.295,   395.000,     0.000,     0.145,     0.690,     1.000,     1.002,     0.441,     0.451,     0.829,     2.331,     6.665,   307.183,     4.680,     7.662,     0.233,     0.014,     0.019,     0.004,     0.034, 22015.753, 10385.905,  1156.533,     0.758,   351.905,   166.011,    18.486,     0.012,     5.019,     1.046,     0.932,     0.002,    21.646,   220.069,    41.677,    23.792,     0.652,     0.766,     0.496,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   172.000,     3.541,     0.267,     0.019,     0.060,     0.049,     1.463,   833.814,     0.166,   395.000,     0.000,     0.279,     0.778,     1.000,     1.002,     0.444,     0.453,     0.831,     2.333,     6.667,   312.024,     4.839,    14.767,     0.448,     0.028,     0.037,     0.008,     0.065, 22677.238, 10697.960,  1191.282,     0.781,   362.479,   170.999,    19.042,     0.012,     6.813,     1.512,     1.347,     0.003,    23.575,   221.014,    42.929,    24.507,     0.710,     0.769,     0.510,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   173.000,     7.000,     0.267,     0.019,     0.060,     0.049,     1.463,   979.960,     0.589,   395.000,     0.000,     0.674,     0.829,     1.000,     1.002,     0.461,     0.469,     0.850,     2.353,     6.683,   324.050,     5.227,    24.405,     0.267,     0.019,     0.062,     0.013,     0.108, 24524.452, 11569.381,  1288.320,     0.845,   392.005,   184.928,    20.593,     0.014,     8.293,     1.940,     1.728,     0.004,    28.118,   223.003,    46.426,    26.503,     0.817,     0.776,     0.552,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   174.000,     9.436,     0.267,     0.019,     0.060,     0.049,     1.463,  1065.523,     0.191,   395.000,     0.000,     0.871,     0.854,     1.000,     1.002,     0.484,     0.500,     0.896,     2.403,     6.722,   336.185,     5.619,    25.590,     0.267,     0.019,     0.065,     0.013,     0.113, 26420.300, 12463.745,  1387.913,     0.910,   422.309,   199.224,    22.185,     0.015,     9.111,     2.064,     1.839,     0.005,    32.504,   225.115,    50.015,    28.552,     0.921,     0.783,     0.595,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   175.000,    11.700,     0.267,     0.019,     0.060,     0.049,     1.463,  1123.948,     0.398,   395.000,     0.000,     0.953,     0.868,     1.000,     1.002,     0.507,     0.539,     0.942,     2.452,     6.760,   332.981,     5.409,    26.794,     0.267,     0.051,     0.068,     0.014,     0.119, 25663.199, 12106.583,  1348.141,     0.884,   410.207,   193.515,    21.549,     0.014,    21.605,     4.193,     3.736,     0.009,    29.314,   227.351,    48.581,    27.733,     0.816,     0.791,     0.578,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   176.000,    11.414,     0.267,     0.019,     0.060,     0.049,     1.463,  1060.860,     0.619,   395.000,     0.000,     0.946,     0.852,     1.000,     1.002,     0.474,     0.520,     0.915,     2.424,     6.735,   329.841,     5.206,    25.064,     0.267,     0.047,     0.063,     0.013,     0.111, 24817.419, 11707.588,  1303.710,     0.855,   396.688,   187.137,    20.839,     0.014,    20.159,     4.025,     3.585,     0.009,    26.648,   229.393,    46.980,    26.819,     0.730,     0.798,     0.559,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   177.000,     9.116,     0.267,     0.019,     0.060,     0.049,     1.463,   916.075,     0.215,   395.000,     0.000,     0.852,     0.808,     1.000,     1.002,     0.447,     0.499,     0.890,     2.397,     6.713,   326.875,     5.012,    23.658,     0.267,     0.044,     0.060,     0.012,     0.105, 23932.954, 11290.343,  1257.248,     0.824,   382.550,   180.468,    20.096,     0.013,    18.910,     3.863,     3.441,     0.008,    24.429,   231.276,    45.306,    25.864,     0.661,     0.805,     0.539,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
   178.000,     6.286,     0.267,     0.019,     0.060,     0.049,     1.463,   621.325,     0.364,   395.000,     0.000,     0.594,     0.674,     1.000,     1.002,     0.425,     0.481,     0.867,     2.373,     6.694,   332.949,     5.179,    22.506,     0.267,     0.042,     0.057,     0.012,     0.100, 24688.630, 11646.832,  1296.945,     0.850,   394.629,   186.166,    20.731,     0.014,    11.333,     2.491,     2.219,     0.005,    26.504,   233.028,    46.737,    26.680,     0.710,     0.811,     0.556,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   179.000,     3.254,     0.267,     0.019,     0.060,     0.049,     1.463,   406.020,     0.126,   395.000,     0.000,     0.252,     0.519,     1.000,     1.002,     0.435,     0.497,     0.888,     2.395,     6.712,   331.613,     5.182,    13.334,     0.492,     0.025,     0.034,     0.007,     0.059, 24253.593, 11441.604,  1274.092,     0.835,   387.676,   182.885,    20.365,     0.013,    10.410,     2.130,     1.898,     0.005,    25.712,   233.778,    45.913,    26.210,     0.774,     0.813,     0.546,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   180.000,     1.322,     0.267,     0.019,     0.060,     0.049,     1.463,   455.667,     0.581,   395.000,     0.000,     0.117,     0.560,     1.000,     1.002,     0.485,     0.490,     0.878,     2.385,     6.704,   325.160,     4.913,     6.179,     0.187,     0.012,     0.016,     0.003,     0.027, 22975.721, 10838.769,  1206.962,     0.791,   367.250,   173.250,    19.292,     0.013,     9.149,     1.785,     1.590,     0.004,    23.089,   233.748,    43.494,    24.829,     0.695,     0.813,     0.517,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
   181.000,     0.447,     0.267,     0.019,     0.060,     0.049,     1.463,   465.146,     0.561,   395.000,     0.000,     0.080,     0.568,     1.000,     1.002,     0.459,     0.467,     0.850,     2.353,     6.681,   322.635,     4.815,     4.214,     0.128,     0.008,     0.011,     0.002,     0.019, 22481.739, 10605.733,  1181.012,     0.774,   359.354,   169.525,    18.878,     0.012,     4.893,     0.937,     0.835,     0.002,    22.276,   233.505,    42.559,    24.295,     0.671,     0.812,     0.506,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   182.000,     0.301,     0.267,     0.019,     0.060,     0.049,     1.463,   490.043,     0.463,   395.000,     0.000,     0.075,     0.587,     1.000,     1.002,     0.451,     0.460,     0.840,     2.343,     6.674,   320.040,     4.714,     3.948,     0.120,     0.007,     0.010,     0.002,     0.018, 21975.925, 10367.116,  1154.441,     0.757,   351.269,   165.711,    18.453,     0.012,     4.753,     0.910,     0.811,     0.002,    21.457,   233.233,    41.601,    23.749,     0.646,     0.812,     0.495,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   183.000,     1.833,     0.267,     0.019,     0.060,     0.049,     1.463,   649.036,     0.376,   395.000,     0.000,     0.145,     0.690,     1.000,     1.002,     0.443,     0.452,     0.830,     2.331,     6.666,   320.522,     4.725,     7.662,     0.233,     0.014,     0.019,     0.004,     0.034, 21968.858, 10363.783,  1154.070,     0.757,   351.156,   165.657,    18.447,     0.012,     5.074,     1.044,     0.930,     0.002,    21.827,   233.366,    41.588,    23.741,     0.657,     0.812,     0.495,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
   184.000,     3.541,     0.267,     0.019,     0.060,     0.049,     1.463,   833.814,     0.265,   395.000,     0.000,     0.279,     0.778,     1.000,     1.002,     0.445,     0.454,     0.832,     2.334,     6.669,   325.311,     4.884,    14.767,     0.448,     0.028,     0.037,     0.008,     0.065, 22632.923, 10677.054,  1188.954,     0.780,   361.770,   170.665,    19.005,     0.012,     6.869,     1.510,     1.345,     0.003,    23.736,   234.271,    42.845,    24.459,     0.715,     0.815,     0.509,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
   185.000,     7.000,     0.267,     0.019,     0.060,     0.049,     1.463,   979.960,     0.447,   395.000,     0.000,     0.674,     0.829,     1.000,     1.002,     0.462,     0.469,     0.851,     2.353,     6.684,   337.323,     5.272,    24.453,     0.267,     0.019,     0.062,     0.013,     0.108, 24488.660, 11552.496,  1286.440,     0.844,   391.433,   184.658,    20.563,     0.013,     8.353,     1.940,     1.728,     0.004,    28.275,   236.225,    46.358,    26.464,     0.822,     0.822,     0.551,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
