Month,Temp_oC,NutAvail_N_Mpm2mo,NutAvail_P_Mpm2mo,NutAvail_Ca_Mpm2mo,NutAvail_Mg_Mpm2mo,NutAvail_K_Mpm2mo,PAR_uMpm2s,WaterAccessible_mpmo,AtmosphCO2_uLpL,Herbivores_kgLivepha,MaxCfixGivenTemp_prop,MaxCfixGivenLight_prop,MaxCfixGivenWater_prop,MaxCfixGivenCO2_prop,MaxCFixGivenN_prop,MaxCFixGivenP_prop,MaxCFixGivenCa_prop,MaxCFixGivenMg_prop,MaxCFixGivenK_prop,Plant_C_Mpm2,Plant_N_Mpm2,Uptake_C_Mpm2mo,Uptake_N_Mpm2mo,Uptake_P_Mpm2mo,Uptake_Ca_Mpm2mo,Uptake_Mg_Mpm2mo,Uptake_K_Mpm2mo,RootLengthDensity_Layer1_mpm3,RootLengthDensity_Layer2_mpm3,RootLengthDensity_Layer3_mpm3,RootLengthDensity_Layer4_mpm3,MycorLengthDensity_Layer1_mpcm3,MycorLengthDensity_Layer2_mpcm3,MycorLengthDensity_Layer3_mpcm3,MycorLengthDensity_Layer4_mpcm3,Litterfall_C_Layer1_Mpm2mo,Litterfall_C_Layer2_Mpm2mo,Litterfall_C_Layer3_Mpm2mo,Litterfall_C_Layer4_Mpm2mo,Leaf_C_Mpm2,Wood_C_Mpm2,Root_C_Mpm2,Mycor_C_Mpm2,Leaf_N_Mpm2,Wood_N_Mpm2,Root_N_Mpm2,Kdrought_Leaf, Kseasonal_Leaf, KHerbivory_Leaf,Kdrought_Wood, Kseasonal_Wood, KHerbivory_Wood,Kdrought_Root, Kseasonal_Root, KHerbivory_Root 
    11.000,     3.354,     0.267,     0.019,     0.060,     0.049,     2.000,   406.020,     0.315,   395.000,   118.000,     0.261,     0.519,     1.000,     1.002,     0.186,     0.259,     0.549,     1.972,     7.817,    16.987,     0.616,     9.848,     0.261,     0.020,     0.027,     0.006,     0.049,  3153.405,  1487.615,   165.655,     0.109,    50.773,    23.952,     2.667,     0.002,     6.227,     1.404,     1.251,     0.003,     7.585,     0.000,     5.970,     3.433,     0.146,     0.000,     0.071,     0.000,     0.300,     0.057,     0.000,     0.000,     0.003,     0.000,     0.300,     0.030,
    12.000,     1.422,     0.267,     0.019,     0.060,     0.049,     2.000,   455.667,     0.023,   395.000,   118.000,     0.122,     0.560,     0.223,     1.002,     0.187,     0.262,     0.554,     1.978,     7.867,    20.036,     0.812,     6.448,     0.261,     0.013,     0.018,     0.004,     0.032,  3711.774,  1751.025,   194.987,     0.128,    59.687,    28.157,     3.136,     0.002,     2.202,     0.568,     0.506,     0.001,     8.974,     0.000,     7.027,     4.035,     0.259,     0.000,     0.084,     0.000,     0.100,     0.057,     0.000,     0.000,     0.003,     0.000,     0.100,     0.030,
    13.000,     0.547,     0.267,     0.019,     0.060,     0.049,     2.000,   391.458,     0.154,   395.000,   118.000,     0.083,     0.506,     1.000,     1.002,     0.247,     0.275,     0.570,     2.002,     8.091,     3.197,     0.109,     4.405,     0.160,     0.009,     0.012,     0.003,     0.022,   218.750,   103.195,    11.491,     0.008,     3.515,     1.658,     0.185,     0.000,    10.738,     3.265,     2.909,     0.007,     2.545,     0.000,     0.414,     0.238,     0.077,     0.000,     0.005,     0.000,     0.100,     0.057,     0.000,     0.000,     0.003,     0.000,     0.100,     0.030,
    14.000,     0.401,     0.267,     0.019,     0.060,     0.049,     2.000,   518.403,     0.232,   395.000,     0.000,     0.078,     0.607,     1.000,     1.002,     0.185,     0.210,     0.481,     1.863,     6.697,     6.200,     0.218,     4.128,     0.125,     0.008,     0.010,     0.002,     0.018,   737.911,   348.109,    38.764,     0.025,    11.813,     5.573,     0.621,     0.000,     0.724,     0.175,     0.156,     0.000,     3.556,     0.449,     1.397,     0.799,     0.107,     0.002,     0.017,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    15.000,     1.933,     0.267,     0.019,     0.060,     0.049,     2.000,   804.387,     0.138,   395.000,     0.000,     0.151,     0.766,     1.000,     1.002,     0.196,     0.220,     0.495,     1.884,     6.903,    12.088,     0.430,     7.985,     0.242,     0.015,     0.020,     0.004,     0.035,  1727.919,   815.144,    90.771,     0.060,    27.637,    13.038,     1.452,     0.001,     1.301,     0.349,     0.311,     0.001,     5.634,     1.315,     3.271,     1.868,     0.170,     0.005,     0.039,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    16.000,     3.641,     0.267,     0.019,     0.060,     0.049,     2.000,  1006.092,     0.245,   395.000,     0.000,     0.289,     0.837,     1.000,     1.002,     0.217,     0.240,     0.522,     1.925,     7.298,    20.128,     0.705,    11.491,     0.258,     0.022,     0.029,     0.006,     0.051,  3089.835,  1457.626,   162.315,     0.106,    49.405,    23.307,     2.595,     0.002,     2.217,     0.548,     0.489,     0.001,     8.379,     2.560,     5.849,     3.340,     0.238,     0.009,     0.070,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
    17.000,     7.100,     0.267,     0.019,     0.060,     0.049,     2.000,  1083.003,     0.227,   395.000,     0.000,     0.685,     0.858,     1.000,     1.002,     0.237,     0.267,     0.558,     1.981,     7.840,    28.441,     0.989,    12.522,     0.261,     0.023,     0.032,     0.007,     0.056,  4507.658,  2126.482,   236.797,     0.155,    72.067,    33.997,     3.786,     0.002,     2.772,     0.647,     0.576,     0.001,    11.123,     3.913,     8.533,     4.872,     0.307,     0.014,     0.101,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
    18.000,     9.536,     0.267,     0.019,     0.060,     0.049,     2.000,  1130.721,     0.281,   395.000,     0.000,     0.876,     0.870,     1.000,     1.002,     0.257,     0.294,     0.594,     2.038,     8.404,    37.040,     1.282,    13.584,     0.264,     0.025,     0.034,     0.007,     0.060,  5982.074,  2822.036,   314.251,     0.206,    95.633,    45.115,     5.024,     0.003,     3.336,     0.749,     0.667,     0.002,    13.873,     5.377,    11.324,     6.466,     0.376,     0.019,     0.135,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
    19.000,    11.800,     0.267,     0.019,     0.060,     0.049,     2.000,  1109.018,     0.504,   395.000,     0.000,     0.955,     0.865,     1.000,     1.002,     0.277,     0.321,     0.631,     2.094,     8.912,    40.432,     1.387,    14.660,     0.267,     0.027,     0.037,     0.008,     0.065,  6796.425,  3206.205,   357.030,     0.234,   108.648,    51.255,     5.708,     0.004,     8.399,     1.384,     1.233,     0.003,    13.266,     6.954,    12.866,     7.346,     0.356,     0.024,     0.153,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
    20.000,    11.514,     0.267,     0.019,     0.060,     0.049,     2.000,  1063.580,     0.054,   395.000,     0.000,     0.948,     0.853,     0.531,     1.002,     0.276,     0.321,     0.635,     2.100,     8.911,    43.590,     1.479,    14.581,     0.267,     0.027,     0.037,     0.008,     0.065,  7483.735,  3530.443,   393.136,     0.258,   119.633,    56.436,     6.285,     0.004,     8.397,     1.467,     1.307,     0.003,    12.817,     8.518,    14.167,     8.088,     0.341,     0.030,     0.168,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
